Date,EURUSD
2016.11.24 13:16,1.0568
2016.11.24 13:16,1.0568
2016.11.24 13:16,1.0568
2016.11.24 13:16,1.0568
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 13:16,1.0569
2016.11.24 12:46,1.0569
2016.11.24 12:46,1.0568
2016.11.24 12:46,1.0577
2016.11.24 12:46,1.057
2016.11.24 12:10,1.057
2016.11.24 12:10,1.0549
2016.11.24 12:10,1.057
2016.11.24 12:10,1.0562
2016.11.24 11:33,1.0562
2016.11.24 11:33,1.056
2016.11.24 11:33,1.0578
2016.11.24 11:33,1.0563
2016.11.24 10:57,1.0563
2016.11.24 10:57,1.0552
2016.11.24 10:57,1.0578
2016.11.24 10:57,1.0554
2016.11.24 10:20,1.0554
2016.11.24 10:20,1.0532
2016.11.24 10:20,1.0569
2016.11.24 10:20,1.0537
2016.11.24 09:44,1.0537
2016.11.24 09:44,1.0518
2016.11.24 09:44,1.0541
2016.11.24 09:44,1.0527
2016.11.24 09:07,1.0527
2016.11.24 09:07,1.052
2016.11.24 09:07,1.055
2016.11.24 09:07,1.054
2016.11.24 08:31,1.054
2016.11.24 08:31,1.0538
2016.11.24 08:31,1.0544
2016.11.24 08:31,1.0542
2016.11.24 07:54,1.0542
2016.11.24 07:54,1.0542
2016.11.24 07:54,1.0548
2016.11.24 07:54,1.0548
2016.11.24 07:18,1.0548
2016.11.24 07:18,1.0541
2016.11.24 07:18,1.055
2016.11.24 07:18,1.0543
2016.11.24 06:41,1.0543
2016.11.24 06:41,1.0539
2016.11.24 06:41,1.0547
2016.11.24 06:41,1.0539
2016.11.24 06:05,1.0539
2016.11.24 06:05,1.0533
2016.11.24 06:05,1.0542
2016.11.24 06:05,1.0534
2016.11.24 05:28,1.0534
2016.11.24 05:28,1.0527
2016.11.24 05:28,1.0537
2016.11.24 05:28,1.0528
2016.11.24 04:52,1.0528
2016.11.24 04:52,1.0525
2016.11.24 04:52,1.0532
2016.11.24 04:52,1.0531
2016.11.24 04:15,1.0531
2016.11.24 04:15,1.0528
2016.11.24 04:15,1.0536
2016.11.24 04:15,1.0534
2016.11.24 03:39,1.0534
2016.11.24 03:39,1.0533
2016.11.24 03:39,1.0544
2016.11.24 03:39,1.054
2016.11.24 03:02,1.054
2016.11.24 03:02,1.0532
2016.11.24 03:02,1.0543
2016.11.24 03:02,1.0538
2016.11.24 02:26,1.0538
2016.11.24 02:26,1.0535
2016.11.24 02:26,1.0545
2016.11.24 02:26,1.0538
2016.11.24 01:49,1.0538
2016.11.24 01:49,1.0533
2016.11.24 01:49,1.0545
2016.11.24 01:49,1.0545
2016.11.24 01:13,1.0545
2016.11.24 01:13,1.0538
2016.11.24 01:13,1.0548
2016.11.24 01:13,1.0548
2016.11.24 00:36,1.0548
2016.11.24 00:36,1.0545
2016.11.24 00:36,1.0553
2016.11.24 00:36,1.0552
2016.11.24 00:00,1.0552
2016.11.24 00:00,1.0547
2016.11.24 00:00,1.0556
2016.11.24 00:00,1.0553
2016.11.23 23:43,1.0553
2016.11.23 23:43,1.0549
2016.11.23 23:43,1.0553
2016.11.23 23:43,1.0549
2016.11.23 23:07,1.0549
2016.11.23 23:07,1.0549
2016.11.23 23:07,1.0554
2016.11.23 23:07,1.0553
2016.11.23 22:30,1.0553
2016.11.23 22:30,1.055
2016.11.23 22:30,1.0557
2016.11.23 22:30,1.0557
2016.11.23 21:54,1.0557
2016.11.23 21:54,1.0547
